modelrun;bundle;bold
SSP2 2050;A;1
Diet;Diets;1
DietCDG;Diets;
NoUnderweight&HalfOverweight;Diets;
LessFoodWaste;Diets;
InclusiveGrowth;InclusiveGrowth;1
SocioEconTrans;InclusiveGrowth;
EnergyTrans;InclusiveGrowth;
Bioplastics&TimberCities;InclusiveGrowth;
LiberalizedTrade;InclusiveGrowth;
MinWage;InclusiveGrowth;
CapitalSubst;InclusiveGrowth;
EnvSustainability;SustEnvironment;1;
REDDaff;SustEnvironment;
LandSparing&Scape;SustEnvironment;
WaterSparing;SustEnvironment;
BiodivSparing;SustEnvironment;
NitrogenEff;SustEnvironment;
AgroMitigation;SusEnvironment;
SSP2fsdp;Y;1
FSDP;Z;1
FSDP-China;Z;1
