modelrun;scenarioname
SSP2 2020;BASE_SSP2 2020
SSP2 2050;BASE_SSP2 2050
Diet;Diets
DietEmptyCals;LowProcessed
DietFish;BalancedFish
DietLegumes;HighLegumes
DietMonogastrics;LowMonogastrics
DietRuminants;LowRuminants
DietVegFruitsNutsSeeds;HighVegFruitsNuts
DietCDG;DietCDG
NoOverweight;NoOverweight
HalfOverweight;HalfOverweight
NoUnderweight;NoUnderweight
NoUnderweightHalfOverweight; NoUnderweightHalfOverweight
LessFoodWaste;LowFoodWaste
Livelihoods;Livelihoods
LiberalizedTrade;LibTrade
MinWage;MinWage
CapitalSubst;CapitalSubst
NatureSparing;Biosphere
EnvSustainability; SustEnvironment
REDDaff;REDD+
LandSparing;LandSparing
PeatlandSparing;PeatlandSparing
WaterSparing;WaterSparing
BiodivSparing;BiodivSparing
AgroMngmt;Agriculture
AgroMitigation;AgroMitigation
NitrogenEff;NitrogenEfficiency
CropRotations;CropRotations
LandscapeElements;LandscapeElements
LandSparingLandScape;LandSparingLandScape
RiceMit;RiceMitigation
LivestockMngmt;LivestockManagement
ManureMngmt;ManureManagement
SoilCarbon;SoilCarbon
ExternalPressures;CrossSector
InclusiveGrowth;InclusiveGrowth
Population;Population
EconDevelop;HumanDevelop
SocioEconTrans;SocioEconTrans
EnergyTrans;EnergyTrans
Bioplastics;Bioplastics
TimberCities;TimberCities
BioplasticsTimberCities;BioplasticsTimberCities
SSP2fsdp;FST_SSP2
BAU;BASE_SSP2
FSDP;FST_SDP
FSDPChina;FST_SDP_China
SSP1bau;BASE_SSP1
SSP2bau;BASE_SSP2
SSP3bau;BASE_SSP3
SSP4bau;BASE_SSP4
SSP5bau;BASE_SSP5
